Date,AdjClose,Open,High,Low
01.09.2025,3476.60,3445.74,3489.69,3437.15
31.08.2025,3447.94,3447.94,3447.94,3447.94
30.08.2025,3447.94,3447.94,3447.94,3447.94
29.08.2025,3447.94,3417.38,3453.88,3404.47
28.08.2025,3417.2,3398.23,3423.1,3384.71
27.08.2025,3397.43,3390.22,3398.5,3373.93
26.08.2025,3392.88,3366.65,3394.2,3351.45
25.08.2025,3366.79,3369.18,3376.15,3359.91
24.08.2025,3372.11,3371.7,3372.11,3371.7
23.08.2025,3371.7,3371.7,3371.7,3371.7
22.08.2025,3371.7,3339.3,3378.73,3322.15
21.08.2025,3338.76,3351.93,3352.15,3325.84
20.08.2025,3347.38,3317.19,3349.49,3311.68
19.08.2025,3315.47,3334.28,3345.1,3315.2
18.08.2025,3330.55,3334.67,3358.23,3323.85
17.08.2025,3335.39,3336.55,3336.55,3335.39
16.08.2025,3336.55,3336.55,3336.55,3336.55
15.08.2025,3336.55,3336.84,3348.74,3332.43
14.08.2025,3336.5,3357.29,3374.75,3330.08
13.08.2025,3354.73,3349.25,3370.68,3342.9
12.08.2025,3346.4,3343.01,3358.05,3331.7
11.08.2025,3344.83,3401.29,3401.29,3342.01
10.08.2025,3398.78,3398.35,3398.78,3398.35
09.08.2025,3398.35,3398.35,3398.35,3398.35
08.08.2025,3398.35,3403.3,3407.16,3380.53
07.08.2025,3397.31,3373.51,3401.62,3365.71
06.08.2025,3369.04,3380.4,3385.41,3358.34
05.08.2025,3383.06,3376.22,3390.39,3350.07
04.08.2025,3373.38,3362.04,3385.2,3345.31
03.08.2025,3362.88,3362.61,3362.88,3362.61
02.08.2025,3362.61,3362.61,3362.61,3362.61
01.08.2025,3362.61,3291.35,3362.75,3281.73
31.07.2025,3290.33,3278,3314.68,3276.47
30.07.2025,3275.91,3327.58,3334.13,3268.3
29.07.2025,3326.84,3313.64,3333.9,3308.13
28.07.2025,3314.65,3331.33,3345.14,3302.5
27.07.2025,3337.18,3336.37,3337.18,3336.37
26.07.2025,3336.37,3336.37,3336.37,3336.37
25.07.2025,3336.37,3369.28,3373.32,3325.5
24.07.2025,3368.16,3391.3,3393.06,3352.03
23.07.2025,3387.79,3430.87,3438.58,3382.17
22.07.2025,3431.5,3399.37,3433.42,3383.5
21.07.2025,3395.81,3349.69,3401.15,3345.3
20.07.2025,3350.78,3351.86,3351.86,3350.78
19.07.2025,3351.86,3351.86,3351.86,3351.86
18.07.2025,3351.86,3340.83,3360.99,3332.45
17.07.2025,3338.95,3349.85,3352.1,3309.95
16.07.2025,3346.59,3326.13,3373.93,3319.89
15.07.2025,3322.63,3342.7,3366.4,3320.4
14.07.2025,3343.8,3361.23,3374.65,3341.45
13.07.2025,3355.91,3356.89,3356.89,3355.91
12.07.2025,3356.89,3356.89,3356.89,3356.89
11.07.2025,3356.89,3326.11,3368.88,3321.99
10.07.2025,3323.07,3315.79,3330.25,3310.8
09.07.2025,3313.72,3303.04,3316.74,3283.13
08.07.2025,3300.7,3342.65,3345.55,3288.29
07.07.2025,3335.61,3341.05,3341.05,3297.15
06.07.2025,3336.75,3337.58,3337.58,3336.75
05.07.2025,3337.58,3337.58,3337.58,3337.58
04.07.2025,3337.58,3324.64,3344.63,3323.7
03.07.2025,3326.57,3359.21,3365.7,3311.95
02.07.2025,3357.36,3340.64,3359.7,3327.94
01.07.2025,3339.21,3304.95,3357.85,3302.61
30.06.2025,3303.71,3273.34,3309.37,3248.42
29.06.2025,3273.9,3273.9,3273.9,3273.9
28.06.2025,3273.9,3273.9,3273.9,3273.9
27.06.2025,3273.9,3323.05,3325.07,3256.23
26.06.2025,3328.07,3334.69,3350.33,3310.31
25.06.2025,3332.5,3322.68,3337.1,3312.14
24.06.2025,3324.2,3361.68,3363.77,3295.97
23.06.2025,3368.88,3368.75,3393.74,3348.97
22.06.2025,3368.75,3368.75,3368.75,3368.75
21.06.2025,3368.75,3368.75,3368.75,3368.75
20.06.2025,3368.75,3368.37,3374.29,3340.71
19.06.2025,3370.75,3372.93,3386.29,3347.65
18.06.2025,3369.09,3395.6,3399.68,3363.06
17.06.2025,3388.74,3388.3,3403.09,3367.34
16.06.2025,3384.22,3443.48,3451.1,3383
15.06.2025,3432.64,3432.9,3432.9,3432.64
14.06.2025,3432.9,3432.9,3432.9,3432.9
13.06.2025,3432.9,3384.5,3446.86,3379.96
12.06.2025,3385.3,3353.75,3398.85,3339.51
11.06.2025,3353.84,3323.75,3360.02,3316.1
10.06.2025,3322.52,3323.83,3348.8,3302.26
09.06.2025,3328.22,3320.7,3338.05,3294.67
08.06.2025,3310.17,3310.83,3310.83,3310.17
07.06.2025,3310.83,3310.83,3310.83,3310.83
06.06.2025,3310.83,3355.9,3375.37,3307.37
05.06.2025,3354.16,3374.2,3402.7,3340.52
04.06.2025,3376.55,3357.03,3384.25,3345.14
03.06.2025,3352.25,3383.26,3391.6,3333.5
02.06.2025,3380.21,3304.46,3382.87,3301.46
01.06.2025,3292.1,3292.1,3292.1,3292.1
31.05.2025,3292.1,3292.1,3292.1,3292.1
30.05.2025,3292.1,3317.93,3322.13,3272.47
29.05.2025,3317.02,3289.42,3330.55,3245.9
28.05.2025,3289.76,3304.81,3325.55,3278.02
27.05.2025,3300.52,3346.6,3349.81,3286.43
26.05.2025,3342.72,3348.6,3356.36,3325.1
25.05.2025,3357.43,3359.75,3359.75,3357.43
24.05.2025,3359.75,3359.75,3359.75,3359.75
23.05.2025,3359.75,3297.67,3365.94,3288.2
22.05.2025,3297.15,3319.28,3345.33,3281.42
21.05.2025,3314.99,3294.76,3324.74,3286.15
20.05.2025,3290.16,3228.67,3295.77,3204.98
19.05.2025,3229.85,3214.2,3249.28,3207.86
18.05.2025,3202.78,3201.07,3202.78,3201.07
17.05.2025,3201.07,3201.07,3201.07,3201.07
16.05.2025,3201.07,3242.1,3251.83,3155.18
15.05.2025,3240.87,3181.83,3240.87,3122.19
14.05.2025,3178.75,3251.86,3257.09,3169.9
13.05.2025,3248.37,3236.3,3264.5,3216.84
12.05.2025,3234.7,3291.12,3292.41,3208.22
11.05.2025,3324.63,3328.56,3328.56,3324.63
10.05.2025,3328.56,3328.56,3328.56,3328.56
09.05.2025,3328.56,3312.08,3347,3274.95
08.05.2025,3305.52,3372.79,3414.34,3290.25
07.05.2025,3365.22,3418.34,3419.81,3360.5
06.05.2025,3430.12,3332.56,3434.75,3324.15
05.05.2025,3334.5,3239.83,3337.52,3238.49
04.05.2025,3240.88,3240.3,3240.88,3240.3
03.05.2025,3240.3,3240.3,3240.3,3240.3
02.05.2025,3240.3,3241.83,3268.77,3223.22
01.05.2025,3241,3286.91,3287.82,3203.59
30.04.2025,3288.59,,3327.55,3268.57
29.04.2025,3315.85,3345.2,3345.2,3299.96
28.04.2025,3341.67,3324.76,3352.9,3268.62
27.04.2025,3319.45,3314.69,3319.45,3314.69
26.04.2025,3314.69,3314.69,3314.69,3314.69
25.04.2025,3314.69,3359.3,3370.8,3266.11
24.04.2025,3349.1,3309.07,3366.3,3305.71
23.04.2025,3288.44,3326.36,3385.95,3260.5
22.04.2025,3382.55,3430.05,3498.93,3367.92
21.04.2025,3425.43,3336.54,3430.41,3331.32
20.04.2025,3327.8,3328.3,3328.3,3327.8
19.04.2025,3328.3,3328.3,3328.3,3328.3
18.04.2025,3328.3,3328.3,3328.3,3328.3
17.04.2025,3328.3,3352.14,3356.75,3286.05
16.04.2025,3344.41,3230.87,3344.41,3230.87
15.04.2025,3228.33,3211.8,3233.42,3210.69
14.04.2025,3209.54,3219,3245.36,3194.5
13.04.2025,3237.35,3237.35,3237.35,3237.35
12.04.2025,3237.35,3237.35,3237.35,3237.35
11.04.2025,3237.35,3178.84,3244.28,3177.27
10.04.2025,3175.61,3075.8,3176.43,3071.54
09.04.2025,3082.9,2981.93,3099.35,2970.04
08.04.2025,2984.08,2982.01,3022.6,2975.01
07.04.2025,2983.42,3022.98,3054.85,2957
05.04.2025,3037.79,3037.79,3037.79,3037.79
04.04.2025,3037.79,3114.46,3135,3016.6
03.04.2025,3113.16,3130.79,3167.75,3055.49
02.04.2025,3134.16,3114.69,3139.64,3106.52
01.04.2025,3111,3125.35,3149.01,3101.22
31.03.2025,3123.36,3092.82,3126.97,3077.2
30.03.2025,3082.95,3082.95,3082.95,3082.95
29.03.2025,3082.95,3082.95,3082.95,3082.95
28.03.2025,3082.95,3054.63,3086.93,3054.29
27.03.2025,3056.22,3018.69,3059.48,3017.82
26.03.2025,3019.62,3021.64,3032.13,3012.82
25.03.2025,3021.04,3012.02,3035.85,3007.75
24.03.2025,3011.85,3023.89,3032.98,3002.6
23.03.2025,3025.38,3023.18,3025.97,3022.5
22.03.2025,3023.18,3023.18,3023.18,3023.18
21.03.2025,3023.18,3045.93,3047.45,2999.83
20.03.2025,3045.31,3049.1,3057.24,3026.25
19.03.2025,3049.94,3034.59,3051.42,3023.7
18.03.2025,3034.24,3001.05,3038.04,2999.7
17.03.2025,3000.8,2988.95,3001.82,2982.35
16.03.2025,2989.74,2986.88,2990.54,2983.69
15.03.2025,2986.88,2986.88,2986.88,2986.88
14.03.2025,2986.88,2986.27,3004.71,2978.8
13.03.2025,2987.15,2938.75,2989.69,2933.13
12.03.2025,2937.58,2917.9,2940.79,2906.8
11.03.2025,2917.15,2885.63,2921.55,2881.2
10.03.2025,2885.48,2913.01,2918.2,2880.63
09.03.2025,2911.9,2911.15,2915.16,2909.92
08.03.2025,2911.15,2911.15,2911.15,2911.15
07.03.2025,2911.15,2912.71,2930.06,2897.56
06.03.2025,2911.15,2918.78,2926.61,2891.88
05.03.2025,2918.93,2917.41,2929.7,2894.59
04.03.2025,2918.11,2892.87,2927.73,2882.35
